Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Yrs,BA
Royce Lewis,MIN,3B,25,82,292,40,68,16,0,16,47,0,0,28,74,0,5,0,0.233,0.295,0.452,0.747,3,0.233
Jeremy Pena,HOU,SS,27,157,602,78,160,28,2,15,70,20,6,25,111,3,6,14,0.266,0.308,0.394,0.702,3,0.266
Gleyber Torres,NYY,2B,27,154,587,80,151,26,0,15,63,4,3,65,136,2,8,3,0.257,0.33,0.378,0.708,7,0.257
Masyn Winn,STL,SS,22,150,587,85,157,32,5,15,57,11,5,41,109,3,5,1,0.267,0.314,0.416,0.73,2,0.267
Alec Bohm,PHI,3B,28,143,554,62,155,44,2,15,97,5,2,40,86,0,6,6,0.28,0.332,0.448,0.78,5,0.28
Ceddanne Rafaela,BOS,OF,24,152,544,70,134,23,5,15,75,19,10,15,151,2,3,7,0.246,0.274,0.39,0.664,2,0.246
Jonathan India,CIN,2B,27,151,533,84,132,28,2,15,58,13,2,80,125,2,7,15,0.248,0.357,0.392,0.749,4,0.248
Ryan O'Hearn,BAL,1B,31,142,443,60,117,21,3,15,59,3,1,46,69,0,3,2,0.264,0.334,0.427,0.761,7,0.264
Jarred Kelenic,ATL,OF,25,131,412,49,95,18,2,15,45,7,2,32,133,1,3,1,0.231,0.286,0.393,0.679,4,0.231
Wilyer Abreu,BOS,OF,25,132,399,59,101,33,2,15,58,8,3,40,125,0,5,3,0.253,0.322,0.459,0.781,2,0.253
Hunter Renfroe,KC,OF,32,120,385,44,88,18,0,15,52,1,1,36,84,0,1,2,0.229,0.297,0.392,0.689,9,0.229
Mitch Garver,SEA,C,33,114,367,37,63,17,0,15,51,0,0,53,133,0,3,7,0.172,0.286,0.341,0.627,8,0.172
Trevor Larnach,MIN,OF,27,112,355,59,92,17,0,15,52,4,1,40,89,0,2,3,0.259,0.338,0.434,0.772,4,0.259
Randy Arozarena,TB,OF,29,100,350,45,74,19,0,15,37,16,7,45,101,0,3,11,0.211,0.318,0.394,0.712,6,0.219
Tyler Fitzgerald,SF,OF,27,96,314,53,88,19,2,15,34,17,4,22,108,0,1,4,0.28,0.334,0.497,0.831,2,0.28
Travis d'Arnaud,ATL,C,35,99,307,40,73,16,0,15,48,1,0,24,89,0,4,6,0.238,0.302,0.436,0.738,12,0.238
Willson Contreras,STL,C,32,84,301,48,79,17,0,15,36,4,1,45,96,0,0,12,0.262,0.38,0.468,0.848,9,0.262
Max Muncy,LAD,3B,34,73,237,47,55,17,0,15,48,1,0,45,77,0,6,5,0.232,0.358,0.494,0.852,9,0.232
Brendan Donovan,STL,2B,27,153,587,65,163,34,3,14,73,5,5,47,81,0,5,13,0.278,0.342,0.417,0.759,3,0.278
Yandy Diaz,TB,1B,33,145,563,55,158,31,1,14,65,0,0,50,95,0,4,4,0.281,0.341,0.414,0.755,8,0.281
Steven Kwan,CLE,OF,27,122,480,83,140,16,3,14,44,12,5,53,51,2,0,5,0.292,0.368,0.425,0.793,3,0.292
Josh Bell,MIA,1B,32,104,398,38,95,18,1,14,49,0,0,34,88,0,3,5,0.239,0.305,0.394,0.699,9,0.249
Mickey Moniak,LAA,OF,26,124,392,48,86,17,2,14,49,8,4,21,114,0,1,4,0.219,0.266,0.38,0.646,5,0.219
J.T. Realmuto,PHI,C,33,99,380,50,101,18,1,14,47,2,2,27,102,0,1,5,0.266,0.322,0.429,0.751,11,0.266
Seth Brown,OAK,OF,32,124,372,32,86,11,1,14,44,4,2,25,112,0,1,2,0.231,0.283,0.379,0.662,6,0.231
Will Benson,CIN,OF,26,128,343,41,64,19,2,14,43,16,7,40,154,1,2,2,0.187,0.274,0.376,0.65,3,0.187
David Fry,CLE,C,28,122,335,44,88,18,1,14,51,4,1,42,84,0,4,9,0.263,0.356,0.448,0.804,2,0.263
Michael Massey,KC,2B,26,100,332,45,86,17,2,14,45,1,0,15,56,2,4,3,0.259,0.294,0.449,0.743,3,0.259
Carlos Correa,MIN,SS,30,86,319,55,99,20,2,14,54,0,0,40,61,0,4,3,0.31,0.388,0.517,0.905,10,0.31
Alex Verdugo,NYY,OF,28,149,559,74,130,28,1,13,61,2,1,49,93,2,10,1,0.233,0.291,0.356,0.647,8,0.233
Josh Smith,TEX,SS,27,149,523,67,135,30,1,13,62,11,2,46,121,2,3,18,0.258,0.337,0.394,0.731,3,0.258
Nolan Schanuel,LAA,1B,22,147,519,62,130,19,0,13,54,10,1,68,103,3,7,9,0.25,0.343,0.362,0.705,2,0.25
Colt Keith,DET,3B,23,148,516,54,134,15,4,13,61,7,1,36,110,0,2,2,0.26,0.309,0.38,0.689,1,0.26
Brendan Rodgers,COL,2B,28,135,501,67,134,29,1,13,54,1,0,31,132,1,2,4,0.267,0.314,0.407,0.721,6,0.267
Ryan Mountcastle,BAL,1B,27,124,473,54,128,30,2,13,63,3,0,27,114,0,6,1,0.271,0.308,0.425,0.733,5,0.271
Jake Meyers,HOU,OF,28,148,461,51,101,20,3,13,61,11,3,35,117,3,4,10,0.219,0.286,0.36,0.646,4,0.219
Jonah Heim,TEX,C,29,131,459,45,101,12,1,13,59,1,1,26,90,0,2,4,0.22,0.267,0.336,0.603,5,0.22
Keibert Ruiz,WSH,C,26,127,459,46,105,21,0,13,57,3,1,16,54,0,5,5,0.229,0.26,0.359,0.619,5,0.229
Connor Wong,BOS,C,28,126,447,54,125,24,1,13,52,8,7,28,114,1,2,9,0.28,0.333,0.425,0.758,4,0.28
Andy Pages,LAD,OF,23,116,403,65,100,23,1,13,46,1,2,29,108,0,4,6,0.248,0.305,0.407,0.712,1,0.248
Davis Schneider,TOR,2B,25,135,397,48,76,19,1,13,46,6,0,47,144,0,5,5,0.191,0.282,0.343,0.625,2,0.191
Rowdy Tellez,PIT,1B,29,132,383,38,93,18,0,13,56,1,0,31,89,0,5,2,0.243,0.299,0.392,0.691,7,0.243
Jon Singleton,HOU,1B,33,119,355,46,83,13,1,13,42,0,0,47,111,0,3,0,0.234,0.321,0.386,0.707,4,0.234
Bo Naylor,CLE,C,24,123,354,39,71,10,2,13,39,6,3,29,122,2,2,2,0.201,0.264,0.35,0.614,3,0.201
