Player,Yrs,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
Korey Lee,3,125,377,36,79,14,1,12,37,17,122,6,3,.210
Dylan Carlson,5,96,235,19,49,7,0,3,25,22,75,2,1,.209
Tyler Freeman,3,118,330,48,69,14,1,7,32,28,53,11,6,.209
Mitch Haniger,8,121,380,42,79,12,0,12,44,40,126,0,0,.208
Jo Adell,5,130,405,54,84,15,2,20,62,35,126,15,10,.207
Wilmer Flores,12,71,214,19,44,12,0,4,26,20,33,0,0,.206
MJ Melendez,3,135,412,44,85,23,3,17,44,35,113,4,4,.206
Brayan Rocchio,2,143,383,50,79,18,0,8,36,44,90,10,6,.206
Dominic Fletcher,2,72,223,14,46,8,0,1,17,11,58,0,0,.206
Danny Jansen,7,91,278,35,57,13,0,9,24,40,61,0,0,.205
Elehuris Montero,3,67,224,23,46,10,0,4,28,20,56,0,0,.205
DJ LeMahieu,14,67,201,19,41,5,0,2,26,19,35,0,1,.204
Tyler Nevin,4,87,245,22,50,10,0,7,20,25,64,1,0,.204
Nolan Gorman,3,107,365,42,74,15,0,19,50,34,151,6,1,.203
Justyn-Henry Malloy,1,71,202,18,41,7,1,8,21,23,85,1,1,.203
Chris Taylor,11,87,213,28,43,7,1,4,23,28,76,5,1,.202
J.P. Crawford,8,105,392,55,79,16,2,9,37,52,102,5,0,.202
Adam Frazier,9,104,262,35,53,10,1,4,22,22,59,3,0,.202
Dylan Moore,6,135,368,53,74,23,4,10,42,53,123,32,6,.201
Bo Naylor,3,123,354,39,71,10,2,13,39,29,122,6,3,.201
Nelson Velazquez,3,64,205,31,41,8,1,8,27,19,61,2,0,.200
Jake Bauers,5,116,302,45,60,9,2,12,43,39,118,13,1,.199
Edouard Julien,2,94,266,36,53,9,0,8,21,33,102,6,0,.199
Kevin Kiermaier,12,116,259,31,51,9,3,5,26,12,86,6,2,.197
Jake Rogers,4,102,310,43,61,16,1,10,36,22,99,1,0,.197
Addison Barger,1,69,208,20,41,11,0,7,28,14,60,2,0,.197
Christopher Morel,3,152,535,56,105,11,3,21,60,61,159,8,7,.196
Nick Senzel,6,74,236,25,46,11,0,7,18,28,61,1,3,.195
Michael Taylor,11,113,269,35,52,9,1,5,21,23,105,12,1,.193
Sean Murphy,6,72,233,19,45,5,1,10,25,27,67,0,0,.193
Davis Schneider,2,135,397,48,76,19,1,13,46,47,144,6,0,.191
Hunter Goodman,2,70,211,24,40,9,0,13,36,8,64,1,1,.190
Jose Siri,4,130,402,50,75,16,1,18,47,31,170,14,7,.187
Will Benson,3,128,343,41,64,19,2,14,43,40,154,16,7,.187
Javier Baez,11,80,272,25,50,12,0,6,37,12,69,8,1,.184
Taylor Walls,4,84,218,27,40,5,3,1,14,31,67,16,4,.183
Adam Duvall,11,104,303,29,55,10,0,11,30,21,99,0,0,.182
Jack Suwinski,3,88,247,29,45,8,0,9,26,27,79,9,1,.182
Eddie Rosario,10,91,297,33,52,12,0,10,35,16,77,9,1,.175
Mitch Garver,8,114,367,37,63,17,0,15,51,53,133,0,0,.172
Brandon Drury,10,97,325,28,55,7,0,4,15,27,81,1,0,.169
Joey Gallo,10,76,223,24,36,9,0,10,27,32,102,3,1,.161
Miguel Vargas,3,72,206,22,31,7,0,5,16,25,57,3,1,.150
